City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,287.96,46,0,6.71,AR,1697662305
1,happy valley-goose bay,53.3168,-60.3315,281.32,61,75,5.14,CA,1697662306
2,puerto natales,-51.7236,-72.4875,288.4,47,75,7.2,CL,1697662306
3,fort-shevchenko,44.5086,50.263,285.83,59,100,6.86,KZ,1697662306
4,taulaga,-11.0553,-171.0883,300.71,80,21,6.84,AS,1697662306
5,trevelin,-43.0858,-71.4639,297.86,36,0,3.93,AR,1697662307
6,remire-montjoly,4.9167,-52.2667,300.17,83,100,3.6,GF,1697662307
7,bahia blanca,-38.7196,-62.2724,295.27,22,75,4.47,AR,1697662307
8,puerto ayora,-0.7393,-90.3518,303.13,91,93,3.58,EC,1697662307
9,college,64.8569,-147.8028,272.12,83,100,1.54,US,1697662308
10,waitangi,-43.9535,-176.5597,285.83,80,100,4.92,NZ,1697662308
11,edinburgh of the seven seas,-37.0676,-12.3116,285.91,92,100,12.23,SH,1697662308
12,kerikeri,-35.2268,173.9474,290.32,92,100,0.89,NZ,1697662308
13,chonchi,-42.6128,-73.8092,291.71,67,21,0.65,CL,1697662308
14,blackmans bay,-43.0167,147.3167,282.89,92,89,0.42,AU,1697662309
15,santa vitoria do palmar,-33.5189,-53.3681,287.58,71,55,3.87,BR,1697662309
16,grand falls-windsor,48.9332,-55.6649,281.21,71,86,3.27,CA,1697662309
17,ust-nera,64.5667,143.2,256.6,91,100,1.79,RU,1697662309
18,georgetown,5.4112,100.3354,299.83,95,20,1.03,MY,1697662094
19,new norfolk,-42.7826,147.0587,283.55,63,97,1.01,AU,1697662310
20,virac,13.6333,124.2167,296.43,84,100,1.49,PH,1697662310
21,tommot,58.9564,126.2925,267.92,95,100,1.64,RU,1697662310
22,tazacorte,28.629,-17.9293,297.69,78,75,2.24,ES,1697662310
23,port-aux-francais,-49.35,70.2167,276.17,96,100,8.47,TF,1697662311
24,paracatu,-17.2222,-46.8747,304.77,24,35,1.17,BR,1697662311
